Disease,Encoded Label
Amyotrophic_Lateral_Sclerosis,0
Asthma,1
COPD,2
COVID19,3
Chronic_Kidney_Disease,4
Common_Cold,5
Coronary_Artery_Disease,6
Cystic_Fibrosis,7
Depression,8
Ehlers_Danlos_Syndrome,9
Epilepsy,10
Flu,11
Gastritis,12
Generalized_Anxiety_Disorder,13
Hypertension,14
Hyperthyroidism,15
Hypothyroidism,16
Irritable_Bowel_Syndrome,17
Marfan_Syndrome,18
Migraine,19
Obesity,20
Osteoarthritis,21
Osteopetrosis,22
Peptic_Ulcer_Disease,23
Pneumonia,24
Polycystic_Ovary_Syndrome,25
Stroke,26
Systemic_Lupus_Erythematosus,27
Tuberculosis,28
Type2_Diabetes,29
