disease,count
Asthma,21295
Hyperthyroidism,10747
Irritable_Bowel_Syndrome,9023
Obesity,7853
Pneumonia,6493
Peptic_Ulcer_Disease,5834
Type2_Diabetes,5239
Chronic_Kidney_Disease,4993
Gastritis,4431
Osteoarthritis,4264
Flu,3444
Depression,2321
Common_Cold,2236
COPD,2060
COVID19,2033
Polycystic_Ovary_Syndrome,1820
Hypothyroidism,1683
Hypertension,1647
Coronary_Artery_Disease,922
Migraine,467
Epilepsy,366
Cystic_Fibrosis,164
Systemic_Lupus_Erythematosus,156
Generalized_Anxiety_Disorder,95
Tuberculosis,67
Stroke,64
Amyotrophic_Lateral_Sclerosis,50
Osteopetrosis,46
Marfan_Syndrome,29
Ehlers_Danlos_Syndrome,24
Cirrhosis,18
Dengue,17
Spinal_Muscular_Atrophy,17
Niemann_Pick_Disease,14
Inflammatory_Bowel_Disease,14
Gaucher_Disease,12
Multiple_Sclerosis,12
Ulcerative_Colitis,7
Chronic_Liver_Disease,5
Crohn_Disease,4
Fanconi_Anemia,4
Acute_Gastroenteritis,3
Typhoid_Fever,2
Psoriasis,2
Urinary_Tract_Infection,2
Metabolic_Syndrome,1
