,0
symptom_loss_of_smell,25662
symptom_shortness_of_breath,25610
symptom_chest_tightness,25604
symptom_pleuritic_chest_pain,25583
symptom_exercise_dyspnea,25573
symptom_runny_nose,25533
symptom_facial_puffiness,25492
symptom_loss_of_taste,25484
symptom_wheezing,25477
symptom_cough,25475
symptom_sore_throat,25474
symptom_sinus_pain,25464
symptom_arthralgia,25455
symptom_cold_extremities,25444
symptom_photosensitivity_symptom,25414
symptom_productive_cough,25412
symptom_orthopnea,25408
symptom_chills,25387
symptom_dry_cough,25386
symptom_myalgia,25375
symptom_joint_pain_symptom,25359
symptom_hemoptysis,25358
symptom_fever,25356
symptom_heat_intolerance_symptom,25353
symptom_nasal_congestion,25342
symptom_hair_loss_symptom,25308
symptom_muscle_cramps_symptom,25305
symptom_night_sweats,25284
symptom_cold_intolerance_symptom,25270
symptom_polyphagia,25266
symptom_hot_flashes,25235
symptom_polydipsia,25234
symptom_unintentional_weight_loss,25218
symptom_polyuria,25209
symptom_fatigue,25208
symptom_weight_loss_unintentional,23518
symptom_vomiting,23516
symptom_bitter_regurgitation,23459
symptom_melena,23351
symptom_abdominal_pain,23342
symptom_dysphagia,23308
symptom_hematemesis,23246
symptom_jaundice_symptom,23246
symptom_weight_gain_symptom,23233
symptom_nausea,23224
symptom_gi_bleeding,23194
symptom_early_satiety,23185
symptom_abdominal_bloating,23181
symptom_constipation,23166
symptom_diarrhea,23136
symptom_loss_of_appetite,23111
symptom_dark_stools,23092
symptom_heartburn,23010
symptom_palpitations,22036
symptom_clammy_skin,22022
symptom_exercise_intolerance,21970
symptom_leg_swelling,21913
symptom_resting_tachycardia,21903
symptom_syncope,21897
symptom_orthopnea_symptom,21871
symptom_bradycardia,21864
symptom_claudication,21864
symptom_paroxysmal_nocturnal_dyspnea,21855
symptom_fatigue_on_exertion,21843
symptom_peripheral_edema,21841
symptom_chest_pain,21839
symptom_cyanosis,21836
symptom_exertional_chest_pain,21797
symptom_enthesitis,20823
symptom_bone_pain,20778
symptom_morning_stiffness,20755
symptom_limp,20728
symptom_tendon_tenderness,20703
symptom_facial_droop,20668
symptom_low_back_pain,20665
symptom_reduced_range_of_motion,20637
symptom_tingling,20600
symptom_seizures_symptom,20598
symptom_vision_blur,20590
symptom_spine_rigidity,20584
symptom_neck_pain,20558
symptom_photophobia,20551
symptom_muscle_weakness_msk,20540
symptom_speech_difficulty,20537
symptom_spasticity,20521
symptom_dizziness,20520
symptom_migraine_symptom,20519
symptom_focal_weakness,20517
symptom_memory_loss_symptom,20512
symptom_tremor_symptom,20459
symptom_paresthesia,20451
symptom_vertigo,20438
symptom_double_vision,20436
symptom_ataxia_symptom,20435
symptom_joint_swelling,20433
symptom_muscle_weakness,20433
symptom_phonophobia,20430
symptom_numbness,20410
symptom_confusion_symptom,20406
symptom_gait_instability_symptom,20378
symptom_headache,20279
symptom_suicidal_ideation,18603
symptom_anxiety_symptom,18560
symptom_low_mood,18552
symptom_insomnia,18541
symptom_obsessions,18522
symptom_compulsions,18488
symptom_panic_attacks,18400
symptom_social_withdrawal,18393
symptom_anhedonia,18384
symptom_hypersomnia,18344
symptom_pruritus,15095
symptom_rash_maculopapular,15073
symptom_alopecia_patchy,15072
symptom_livedo_reticularis,15064
symptom_digital_ulcers,15058
symptom_ecchymosis,15048
symptom_rash_psoriasiform,15046
symptom_hypopigmentation,15037
symptom_telangiectasia,15025
symptom_photosensitive_rash_derm,15001
symptom_skin_thickening,14986
symptom_urticaria,14935
symptom_hyperpigmentation,14863
symptom_petechiae,14823
symptom_fatigue_anemia,13755
symptom_easy_bruising,13729
symptom_prolonged_bleeding,13705
symptom_frequent_nosebleeds,13678
symptom_shortness_of_breath_on_exertion,13642
symptom_lymph_node_swelling,13631
symptom_recurrent_infections,13621
symptom_splenomegaly_symptom,13613
symptom_pallor,13610
symptom_night_sweats_heme,13479
rare_symptom_developmental_delay_rare,306
rare_symptom_hematuria,301
rare_symptom_dysautonomia_rare,296
rare_symptom_bone_fractures_pathologic_rare,285
rare_symptom_butterfly_rash,277
rare_symptom_respiratory_failure_rare,272
rare_symptom_pancytopenia_rare,264
rare_symptom_hyperextensible_skin_rare,252
rare_symptom_raynaud_phenomenon,238
rare_symptom_hemolytic_anemia_rare,235
rare_symptom_malar_rash,223
rare_symptom_spastic_paraparesis_rare,222
rare_symptom_macroglossia_rare,214
rare_symptom_skin_calcifications_rare,213
rare_symptom_neuropathic_pain_rare,207
rare_symptom_cardiomyopathy_rare,205
rare_symptom_oral_ulcers,204
rare_symptom_proteinuria,201
rare_symptom_lens_dislocation_rare,196
rare_symptom_portal_hypertension_signs_rare,194
rare_symptom_steatorrhea_rare,189
rare_symptom_hearing_loss_early_onset_rare,187
rare_symptom_bulbar_symptoms_rare,184
rare_symptom_arrhythmia_persistent_rare,179
rare_symptom_massive_splenomegaly_rare,171
rare_symptom_erythema_nodosum,158
rare_symptom_kyphoscoliosis_rare,154
rare_symptom_tall_stature_rare,146
rare_symptom_bloody_sputum_rare,137
rare_symptom_renal_cysts_rare,130
rare_symptom_digital_clubbing,129
rare_symptom_bone_marrow_failure_rare,128
rare_symptom_angiokeratomas_rare,127
rare_symptom_joint_hypermobility_rare,111
rare_symptom_hepatosplenomegaly_rare,91
rare_symptom_optic_neuritis_rare,85
rare_symptom_proximal_muscle_weakness_rare,85
rare_symptom_foot_drop_rare,65
rare_symptom_bronchiectasis_rare,57
