feature,importance
rare_symptom_digital_clubbing,0.07344259
rare_symptom_bone_fractures_pathologic_rare,0.06623016
rare_symptom_respiratory_failure_rare,0.06520044
rare_symptom_hyperextensible_skin_rare,0.059990123
rare_symptom_bronchiectasis_rare,0.058129422
rare_symptom_lens_dislocation_rare,0.05606749
rare_symptom_joint_hypermobility_rare,0.044441395
rare_symptom_kyphoscoliosis_rare,0.044389825
rare_symptom_hepatosplenomegaly_rare,0.041534584
rare_symptom_bulbar_symptoms_rare,0.02961906
rare_symptom_tall_stature_rare,0.025259698
rare_symptom_steatorrhea_rare,0.024999518
rare_symptom_renal_cysts_rare,0.009761988
symptom_fever,0.008418521
rare_symptom_foot_drop_rare,0.007307412
symptom_vision_blur,0.0061540995
symptom_cyanosis,0.005432397
symptom_syncope,0.0050937193
symptom_polyphagia,0.005070225
symptom_headache,0.0047717593
symptom_compulsions,0.0047327927
rare_symptom_spastic_paraparesis_rare,0.00467942
symptom_insomnia,0.004445467
rare_symptom_oral_ulcers,0.004404912
symptom_gi_bleeding,0.004324732
symptom_dark_stools,0.0041715866
symptom_dizziness,0.0041379365
symptom_cough,0.0039524743
symptom_shortness_of_breath,0.00392062
symptom_constipation,0.003901247
symptom_loss_of_appetite,0.0038254478
symptom_loss_of_taste,0.0037344978
symptom_exercise_intolerance,0.0036812082
symptom_abdominal_pain,0.0036678647
symptom_lymph_node_swelling,0.0036619909
symptom_memory_loss_symptom,0.0036600144
symptom_night_sweats,0.0035772503
symptom_photosensitivity_symptom,0.003562724
symptom_easy_bruising,0.003509713
symptom_gait_instability_symptom,0.003453173
symptom_palpitations,0.0033985863
symptom_hot_flashes,0.003361449
symptom_double_vision,0.0033141791
symptom_tingling,0.003280225
symptom_hair_loss_symptom,0.003256582
symptom_wheezing,0.003253911
rare_symptom_raynaud_phenomenon,0.003243738
symptom_sore_throat,0.003161957
symptom_suicidal_ideation,0.0030501795
symptom_polyuria,0.0029930568
symptom_resting_tachycardia,0.0029887492
symptom_exercise_dyspnea,0.0029191605
symptom_tendon_tenderness,0.0028465313
symptom_hematemesis,0.00284608
symptom_myalgia,0.002830927
symptom_obsessions,0.002814149
symptom_spine_rigidity,0.0027819858
symptom_ecchymosis,0.0027282874
symptom_weight_gain_symptom,0.0027204184
symptom_dysphagia,0.0027155508
symptom_nausea,0.0026882745
symptom_shortness_of_breath_on_exertion,0.002687055
symptom_runny_nose,0.0026811277
symptom_heat_intolerance_symptom,0.0026711526
symptom_enthesitis,0.0026703025
symptom_diarrhea,0.002669969
symptom_fatigue,0.0026318145
symptom_paroxysmal_nocturnal_dyspnea,0.0026269166
symptom_weight_loss_unintentional,0.0026259716
symptom_numbness,0.0026190549
symptom_hyperpigmentation,0.0025995313
symptom_splenomegaly_symptom,0.00259751
symptom_sinus_pain,0.0025877089
symptom_productive_cough,0.0025868814
symptom_muscle_cramps_symptom,0.0025650463
symptom_bone_pain,0.0025622877
symptom_migraine_symptom,0.0025461782
symptom_confusion_symptom,0.002526631
symptom_fatigue_anemia,0.0025161917
symptom_facial_puffiness,0.0025102077
symptom_loss_of_smell,0.0024826708
symptom_digital_ulcers,0.002446896
symptom_spasticity,0.0024065415
symptom_photosensitive_rash_derm,0.0024062388
symptom_morning_stiffness,0.0024028225
symptom_cold_intolerance_symptom,0.0024018642
symptom_seizures_symptom,0.0023981784
symptom_unintentional_weight_loss,0.0023893185
symptom_early_satiety,0.0023795462
symptom_muscle_weakness_msk,0.002366703
symptom_focal_weakness,0.002350977
symptom_chills,0.0023263707
symptom_panic_attacks,0.0023243285
symptom_low_mood,0.0023224906
symptom_pallor,0.002293229
symptom_peripheral_edema,0.00229282
symptom_bradycardia,0.0022672773
symptom_melena,0.0022608386
symptom_alopecia_patchy,0.0022524751
symptom_frequent_nosebleeds,0.0022114732
symptom_abdominal_bloating,0.002203661
symptom_chest_pain,0.002203158
symptom_vomiting,0.0021920025
symptom_tremor_symptom,0.0021858101
symptom_speech_difficulty,0.0021806583
symptom_paresthesia,0.002172232
symptom_rash_psoriasiform,0.0021700615
symptom_leg_swelling,0.002165058
symptom_hemoptysis,0.0021643282
symptom_night_sweats_heme,0.002150059
symptom_telangiectasia,0.002146223
symptom_arthralgia,0.002112427
symptom_reduced_range_of_motion,0.0021035045
symptom_rash_maculopapular,0.002095256
symptom_exertional_chest_pain,0.00209395
symptom_nasal_congestion,0.0020905116
symptom_chest_tightness,0.0020785166
symptom_ataxia_symptom,0.0020678448
symptom_facial_droop,0.0020557845
symptom_heartburn,0.0020385443
symptom_anxiety_symptom,0.002037234
symptom_limp,0.002020913
symptom_pruritus,0.0020178643
symptom_photophobia,0.0020177972
symptom_hypersomnia,0.0020171271
symptom_social_withdrawal,0.00201666
symptom_cold_extremities,0.0020165185
symptom_polydipsia,0.00201622
symptom_claudication,0.0020071885
rare_symptom_skin_calcifications_rare,0.001956766
symptom_skin_thickening,0.0019526822
symptom_hypopigmentation,0.0019417928
symptom_dry_cough,0.0019362314
symptom_orthopnea,0.0019240344
symptom_neck_pain,0.0018248251
symptom_anhedonia,0.0018213603
symptom_joint_pain_symptom,0.0017896956
symptom_pleuritic_chest_pain,0.001785802
symptom_orthopnea_symptom,0.0017807394
symptom_vertigo,0.0017486901
symptom_jaundice_symptom,0.0017135001
symptom_petechiae,0.0017128143
symptom_muscle_weakness,0.0017016173
symptom_bitter_regurgitation,0.0016928694
symptom_phonophobia,0.0016639734
symptom_fatigue_on_exertion,0.0016636786
symptom_urticaria,0.0015970372
symptom_joint_swelling,0.0015683493
symptom_low_back_pain,0.0015450827
rare_symptom_butterfly_rash,0.0015046559
rare_symptom_hearing_loss_early_onset_rare,0.0015035383
symptom_livedo_reticularis,0.0014991931
rare_symptom_proteinuria,0.0014543878
symptom_recurrent_infections,0.0014477079
symptom_clammy_skin,0.0014460525
rare_symptom_hematuria,0.001392368
symptom_prolonged_bleeding,0.0013545604
rare_symptom_cardiomyopathy_rare,0.0012306642
rare_symptom_arrhythmia_persistent_rare,0.0011236578
rare_symptom_neuropathic_pain_rare,0.0010603035
rare_symptom_dysautonomia_rare,0.0009811976
rare_symptom_hemolytic_anemia_rare,0.00094337016
rare_symptom_developmental_delay_rare,0.00089885487
rare_symptom_erythema_nodosum,0.00084770814
rare_symptom_macroglossia_rare,0.0008475378
rare_symptom_malar_rash,0.0006967125
rare_symptom_pancytopenia_rare,0.000649876
rare_symptom_bone_marrow_failure_rare,0.0006451748
rare_symptom_massive_splenomegaly_rare,0.0006206364
rare_symptom_angiokeratomas_rare,0.00052191544
rare_symptom_portal_hypertension_signs_rare,0.0004866861
rare_symptom_bloody_sputum_rare,0.000397776
rare_symptom_optic_neuritis_rare,0.00030873358
rare_symptom_proximal_muscle_weakness_rare,0.0
